IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
13.57.182.91,443.0,True,SJC,North America,San Jose,181 ms,3657 kB/s
13.52.251.56,8443.0,True,SJC,North America,San Jose,179 ms,1132 kB/s
13.57.206.173,443.0,True,SJC,North America,San Jose,182 ms,70 kB/s
52.9.112.189,443.0,True,SJC,North America,San Jose,195 ms,4258 kB/s
13.201.93.150,443.0,True,SJC,North America,San Jose,29 ms,2556 kB/s
54.193.48.13,443.0,True,SJC,North America,San Jose,173 ms,9063 kB/s
54.193.102.195,443.0,True,SJC,North America,San Jose,176 ms,470 kB/s
54.219.139.36,443.0,True,SJC,North America,San Jose,208 ms,77 kB/s
204.110.220.94,80.0,True,SJC,North America,San Jose,172 ms,2476 kB/s
155.248.202.141,443.0,True,SJC,North America,San Jose,178 ms,4684 kB/s
192.18.139.229,8443.0,True,SJC,North America,San Jose,192 ms,4430 kB/s
152.67.231.219,443.0,True,SJC,North America,San Jose,172 ms,4009 kB/s
155.248.196.218,443.0,True,SJC,North America,San Jose,178 ms,4875 kB/s
192.9.246.112,8443.0,True,SJC,North America,San Jose,180 ms,4715 kB/s
152.67.233.64,443.0,True,SJC,North America,San Jose,176 ms,0 kB/s
150.230.47.17,443.0,True,SJC,North America,San Jose,169 ms,4573 kB/s
152.67.250.155,443.0,True,SJC,North America,San Jose,241 ms,3577 kB/s
150.230.44.13,443.0,True,SJC,North America,San Jose,233 ms,33 kB/s
129.159.47.255,443.0,True,SJC,North America,San Jose,171 ms,0 kB/s
146.235.192.207,443.0,True,SJC,North America,San Jose,196 ms,0 kB/s
192.18.134.22,443.0,True,SJC,North America,San Jose,234 ms,2343 kB/s
192.9.250.249,443.0,True,SJC,North America,San Jose,175 ms,4694 kB/s
192.18.134.251,443.0,True,SJC,North America,San Jose,172 ms,4051 kB/s
192.18.141.9,443.0,True,SJC,North America,San Jose,236 ms,4505 kB/s
192.18.134.231,443.0,True,SJC,North America,San Jose,178 ms,15 kB/s
152.67.249.123,443.0,True,SJC,North America,San Jose,188 ms,0 kB/s
152.70.117.136,443.0,True,SJC,North America,San Jose,187 ms,5631 kB/s
192.18.140.32,443.0,True,SJC,North America,San Jose,224 ms,3392 kB/s
192.9.158.62,443.0,True,SJC,North America,San Jose,204 ms,4650 kB/s
138.2.116.78,443.0,True,SJC,North America,San Jose,0 ms,99 kB/s
192.9.250.241,443.0,True,SJC,North America,San Jose,176 ms,812 kB/s
146.235.211.70,2083.0,True,SJC,North America,San Jose,195 ms,2847 kB/s
146.235.211.70,2082.0,True,SJC,North America,San Jose,183 ms,1313 kB/s
152.70.112.158,443.0,True,SJC,North America,San Jose,190 ms,0 kB/s
64.181.240.173,443.0,True,SJC,North America,San Jose,329 ms,2226 kB/s
150.230.34.116,443.0,True,SJC,North America,San Jose,197 ms,784 kB/s
192.18.141.27,443.0,True,SJC,North America,San Jose,304 ms,42 kB/s
192.9.137.193,8443.0,True,SJC,North America,San Jose,167 ms,7947 kB/s
47.88.101.9,80.0,True,SJC,North America,San Jose,174 ms,92 kB/s
47.254.66.75,443.0,True,SJC,North America,San Jose,170 ms,80 kB/s
47.254.66.75,80.0,True,SJC,North America,San Jose,174 ms,73 kB/s
47.88.15.127,443.0,True,SJC,North America,San Jose,0 ms,1553 kB/s
47.88.101.9,443.0,True,SJC,North America,San Jose,1 ms,336 kB/s
47.89.244.253,443.0,True,SJC,North America,San Jose,1 ms,38 kB/s
8.212.19.60,443.0,True,SJC,North America,San Jose,83 ms,227 kB/s
149.129.8.215,443.0,True,SJC,North America,San Jose,97 ms,480 kB/s
47.57.245.232,443.0,True,SJC,North America,San Jose,81 ms,156 kB/s
47.57.14.118,443.0,True,SJC,North America,San Jose,71 ms,40 kB/s
8.217.127.73,2053.0,True,SJC,North America,San Jose,222 ms,4919 kB/s
8.217.127.73,2087.0,True,SJC,North America,San Jose,225 ms,4603 kB/s
8.217.127.73,2096.0,True,SJC,North America,San Jose,218 ms,4362 kB/s
8.217.147.230,2083.0,True,SJC,North America,San Jose,229 ms,4199 kB/s
8.217.147.230,2053.0,True,SJC,North America,San Jose,221 ms,4194 kB/s
8.217.127.73,8443.0,True,SJC,North America,San Jose,233 ms,4157 kB/s
8.217.147.230,2087.0,True,SJC,North America,San Jose,230 ms,4051 kB/s
8.217.147.230,8443.0,True,SJC,North America,San Jose,236 ms,3618 kB/s
47.57.233.126,443.0,True,SJC,North America,San Jose,66 ms,355 kB/s
47.238.43.79,2087.0,True,SJC,North America,San Jose,242 ms,6529 kB/s
20.38.168.166,16666.0,True,SJC,North America,San Jose,224 ms,5851 kB/s
20.245.7.79,443.0,True,SJC,North America,San Jose,179 ms,7239 kB/s
65.75.195.188,50795.0,True,SJC,North America,San Jose,182 ms,8156 kB/s
65.75.193.21,37813.0,True,SJC,North America,San Jose,169 ms,5638 kB/s
136.175.176.49,20443.0,True,SJC,North America,San Jose,182 ms,4372 kB/s
65.75.194.109,20443.0,True,SJC,North America,San Jose,178 ms,4268 kB/s
65.75.193.187,34237.0,True,SJC,North America,San Jose,170 ms,4063 kB/s
136.175.179.68,443.0,True,SJC,North America,San Jose,171 ms,7323 kB/s
